d,avg error,avg runtime,avg length
1,0.18555155572237042,0.0162957880020258,114.0
2,0.03548830455080841,0.003946717995859217,574.0
3,0.4707533281285933,0.008248616999480873,2879.0
4,0.12578353474820483,0.023413895003614016,14375.0
5,0.015060418725362795,0.07144753399916226,71843.0
6,0.280417758706883,0.2579280620047939,359382.0
7,0.05815470629413294,0.9414945509997779,1796091.0
8,0.1179642785700011,3.713289048995648,8978047.0
9,0.20719927969496962,13.27359326199803,44897779.0
10,0.011126625938409398,40.52973429099802,224489743.0


